,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
45,46,-11,Never Be Yours,Kali Uchis,5,35,18,Anaheim,2024-10-24,City Weekly Pulse Songs
46,47,-15,Reflejando,Nivel,32,32,2,Anaheim,2024-10-24,City Weekly Pulse Songs
47,48,New,365 featuring shygirl,"Charli xcx, Shygirl",48,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
48,49,-15,Doin Yo Stuff,"Blxst, Bino Rideaux",2,34,10,Anaheim,2024-10-24,City Weekly Pulse Songs
49,50,-17,Juna,Clairo,8,33,15,Anaheim,2024-10-24,City Weekly Pulse Songs
50,51,New,HOLANDA,Linea Personal,51,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
51,52,-7,LIL DEMON,Future,25,45,4,Anaheim,2024-10-24,City Weekly Pulse Songs
52,53,Re-Entry,Light In The Dark,"Seven Lions, Wooli, Trivecta, JIM",12,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
53,54,-7,MUTT,Leon Thomas,46,47,6,Anaheim,2024-10-24,City Weekly Pulse Songs
54,55,-4,El Plumas,"Neton Vega, Luis R Conriquez",28,51,10,Anaheim,2024-10-24,City Weekly Pulse Songs
55,56,+1,End Up Gone,ian,43,57,3,Anaheim,2024-10-24,City Weekly Pulse Songs
56,57,New,MERTHER,Mau P,57,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
57,58,-16,Or What,"NLE Choppa, 41, Kyle Richh",37,42,4,Anaheim,2024-10-24,City Weekly Pulse Songs
58,59,+4,Nina Ross,OTM,59,63,2,Anaheim,2024-10-24,City Weekly Pulse Songs
59,60,New,Vertigo (feat. Ed Graves),"Odd Mob, Ed Graves",60,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
60,61,-5,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",56,56,2,Anaheim,2024-10-24,City Weekly Pulse Songs
61,62,-19,Flores,Xavi,41,43,5,Anaheim,2024-10-24,City Weekly Pulse Songs
62,63,New,SI NO ES CONTIGO - REMIX,"Cris Mj, Kali Uchis, JHAYCO",63,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
63,64,New,That’s So True,Gracie Abrams,64,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
64,65,New,GEEK TIMË,Yeat,65,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
65,66,New,By Myself (feat. XKYLAR),"OMNOM, XKYLAR",66,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
66,67,New,Sin Miedo - En Vivo,Edgardo Nuñez,67,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
67,68,+27,Witchy (feat. Childish Gambino),"KAYTRANADA, Childish Gambino",15,95,3,Anaheim,2024-10-24,City Weekly Pulse Songs
68,69,-20,Soft Spot,keshi,9,49,5,Anaheim,2024-10-24,City Weekly Pulse Songs
69,70,New,APT.,"ROSÉ, Bruno Mars",70,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
70,71,-3,Mr.SnakeK,"AzChike, MoneySign Suede",6,68,9,Anaheim,2024-10-24,City Weekly Pulse Songs
71,72,-36,Dancing with the devil,949_creeper,36,36,2,Anaheim,2024-10-24,City Weekly Pulse Songs
72,73,-6,Tu Boda,"Oscar Maydon, Fuerza Regida",35,67,4,Anaheim,2024-10-24,City Weekly Pulse Songs
73,74,+2,NISSAN ALTIMA,Doechii,31,76,11,Anaheim,2024-10-24,City Weekly Pulse Songs
74,75,-16,Boogieman,EBK Jaaybo,3,59,26,Anaheim,2024-10-24,City Weekly Pulse Songs
75,76,-18,ALL RED,Playboi Carti,11,58,6,Anaheim,2024-10-24,City Weekly Pulse Songs
76,77,-15,Come Home Soon,Votabias,31,62,2,Anaheim,2024-10-24,City Weekly Pulse Songs
77,78,New,ROCKMAN,Mk.gee,78,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
78,79,-10,Sin Querer Queriendo,"Gabito Ballesteros, Herencia De Grandes",66,69,3,Anaheim,2024-10-24,City Weekly Pulse Songs
79,80,Re-Entry,1 Drink 2 Many,03 Greedo,15,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
80,81,-4,Lejos - En Vivo,Marca MP,7,77,2,Anaheim,2024-10-24,City Weekly Pulse Songs
81,82,-22,Beaches,beabadoobee,20,60,8,Anaheim,2024-10-24,City Weekly Pulse Songs
82,83,+2,FIELD TRIP,"¥$, Kanye West, Ty Dolla $ign",17,85,12,Anaheim,2024-10-24,City Weekly Pulse Songs
83,84,-34,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",22,50,4,Anaheim,2024-10-24,City Weekly Pulse Songs
84,85,-3,No Mastico Culebras,Los Chavalitos,67,82,6,Anaheim,2024-10-24,City Weekly Pulse Songs
85,86,-14,Si No Quieres No,"Luis R Conriquez, Neton Vega",36,72,3,Anaheim,2024-10-24,City Weekly Pulse Songs
86,87,-4,Parking Lot,"Mustard, Travis Scott",22,83,10,Anaheim,2024-10-24,City Weekly Pulse Songs
87,88,-33,Selling Caine,Shordie Shordie,55,55,2,Anaheim,2024-10-24,City Weekly Pulse Songs
88,89,-28,Faldita,Eslabon Armado,61,61,2,Anaheim,2024-10-24,City Weekly Pulse Songs
89,90,-16,NO PIERDO LA VIDA,"Calle 24, Chuyin",40,74,7,Anaheim,2024-10-24,City Weekly Pulse Songs
90,91,-5,El Poly,Herencia De Grandes,30,86,2,Anaheim,2024-10-24,City Weekly Pulse Songs
91,92,+1,NEW DROP,Don Toliver,37,93,11,Anaheim,2024-10-24,City Weekly Pulse Songs
92,93,-13,Sorry Not Sorry,"Lil Yachty, Veeze",25,80,10,Anaheim,2024-10-24,City Weekly Pulse Songs
93,94,-29,I CAN’T LET GO,"Lil Tecca, Don Toliver",33,65,5,Anaheim,2024-10-24,City Weekly Pulse Songs
94,95,-11,DRAKEO Not Drake-O,Drakeo the Ruler,2,84,4,Anaheim,2024-10-24,City Weekly Pulse Songs
95,96,-25,You Owe Me,Malcolm Todd,42,71,4,Anaheim,2024-10-24,City Weekly Pulse Songs
96,97,-7,It's ok I'm ok,Tate McRae,37,90,6,Anaheim,2024-10-24,City Weekly Pulse Songs
97,98,-44,BW,"Grupo Marca Registrada, Diferente Nivel",54,54,2,Anaheim,2024-10-24,City Weekly Pulse Songs
98,99,New,Sick (feat. 4batz),"Jeremih, 4batz",99,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
