,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
641,42,-11,Reflejando,Nivel,31,31,2,Dallas,2024-10-24,City Weekly Pulse Songs
642,43,-8,I Never Lie,Zach Top,12,35,21,Dallas,2024-10-24,City Weekly Pulse Songs
643,44,+6,Mr.JumpOutNBlow,Rundown 4,9,50,11,Dallas,2024-10-24,City Weekly Pulse Songs
644,45,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",45,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
645,46,–,COME SAVE ME,BIG30,14,46,16,Dallas,2024-10-24,City Weekly Pulse Songs
646,47,-17,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",18,30,4,Dallas,2024-10-24,City Weekly Pulse Songs
647,48,New,Chingo de Amor,La Fiera de Ojinaga,48,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
648,49,-40,The Great Alone,Binoy,9,9,3,Dallas,2024-10-24,City Weekly Pulse Songs
649,50,+2,weren't for the wind,Ella Langley,50,52,3,Dallas,2024-10-24,City Weekly Pulse Songs
650,51,-27,Behold the Lamb - Live,"Watermark Music, Grace Tanner",21,24,8,Dallas,2024-10-24,City Weekly Pulse Songs
651,52,+11,Opp Bitch,"YTM Lilvent, LMG Huncho, YTM Lilvier, YTM Lilvick",52,63,3,Dallas,2024-10-24,City Weekly Pulse Songs
652,53,New,Fighting Shadows,Barbara Falzoni,53,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
653,54,-10,Run Your Mouth,Gavin Adcock,13,44,12,Dallas,2024-10-24,City Weekly Pulse Songs
654,55,-6,Me Acostumbre A Lo Bueno II,"Chuyin, Fuerza Regida",34,49,4,Dallas,2024-10-24,City Weekly Pulse Songs
655,56,Re-Entry,Years,Jeeves,10,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
656,57,-17,Overdrive,Stenox,40,40,2,Dallas,2024-10-24,City Weekly Pulse Songs
657,58,-16,Thoughts of You,Ole 60,33,42,5,Dallas,2024-10-24,City Weekly Pulse Songs
658,59,New,Me Quiero Un Chingo,"La Maquinaria Norteña, Conjunto Rienda Real",59,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
659,60,+4,Algo Bien,Profugos De Nuevo Leon,11,64,27,Dallas,2024-10-24,City Weekly Pulse Songs
660,61,New,DO YO SHIT,Moneybagg Yo,61,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
661,62,-14,LIL DEMON,Future,32,48,4,Dallas,2024-10-24,City Weekly Pulse Songs
662,63,New,Lo Que Yo Necesitaba,La Pocima Norteña,63,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
663,64,New,HIM ALL ALONG,Gunna,64,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
664,65,-18,Break It Right Back,Megan Moroney,47,47,3,Dallas,2024-10-24,City Weekly Pulse Songs
665,66,-10,Sale Para Ser Feliz,Ivan Cornejo,21,56,14,Dallas,2024-10-24,City Weekly Pulse Songs
666,67,+1,Never Enough,Kayze,43,68,4,Dallas,2024-10-24,City Weekly Pulse Songs
667,68,-17,Brokey,Latto,43,51,10,Dallas,2024-10-24,City Weekly Pulse Songs
668,69,New,Change My Mind,Riley Green,69,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
669,70,New,Sire Rock,Metò,70,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
670,71,New,Federal Nightmares,Rod Wave,71,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
671,72,New,Welcome To The Plains,Wyatt Flores,72,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
672,73,-15,Hecha Pa' Mí,Grupo Frontera,58,58,3,Dallas,2024-10-24,City Weekly Pulse Songs
673,74,-12,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",49,62,13,Dallas,2024-10-24,City Weekly Pulse Songs
674,75,+21,Bloomed in Snow,Pilar Victoria,75,96,2,Dallas,2024-10-24,City Weekly Pulse Songs
675,76,New,The Gowanus Eel,"BenBen, Lily Desmond",76,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
676,77,New,Fool's Gold,Katie Dauson,77,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
677,78,New,Holding On,Bailey Zimmerman,78,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
678,79,New,You For A Reason,Warren Zeiders,79,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
679,80,-15,Ojitos Rojos,Julio Caesar,6,65,8,Dallas,2024-10-24,City Weekly Pulse Songs
680,81,New,Creature of Your Kind,Last Grasp,81,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
681,82,-11,MR. FTO,DEE GLOKK,4,71,26,Dallas,2024-10-24,City Weekly Pulse Songs
682,83,New,Noid,"Tyler, The Creator",83,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
683,84,New,Keep Your Light On,Hugo Brijs,84,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
684,85,-5,ME PORTO BONITO,Los Gemelos De Sinaloa,39,80,15,Dallas,2024-10-24,City Weekly Pulse Songs
685,86,-16,D To Da Murda,"BAK Jay, FBG Murda",25,70,14,Dallas,2024-10-24,City Weekly Pulse Songs
686,87,-20,DOS DÍAS,"Tito Double P, Peso Pluma",45,67,9,Dallas,2024-10-24,City Weekly Pulse Songs
687,88,–,End Up Gone,ian,88,88,3,Dallas,2024-10-24,City Weekly Pulse Songs
688,89,-10,No One Noticed,The Marías,46,79,17,Dallas,2024-10-24,City Weekly Pulse Songs
689,90,+3,On D Gas,"LEGADO 7, Kane Rodriguez",80,93,6,Dallas,2024-10-24,City Weekly Pulse Songs
690,91,-17,Help Me,Real Boston Richey,52,74,16,Dallas,2024-10-24,City Weekly Pulse Songs
691,92,New,One Take Freestyle,1900Rugrat,92,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
692,93,-17,Jailbreak,"Waylon Wyatt, Bayker Blankenship",53,76,6,Dallas,2024-10-24,City Weekly Pulse Songs
693,94,New,Fantasma,La Energia Nortena,94,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
694,95,-11,The Viper,BabyChiefDoit,84,84,3,Dallas,2024-10-24,City Weekly Pulse Songs
695,96,-53,dance tonight,Indira May,43,43,2,Dallas,2024-10-24,City Weekly Pulse Songs
696,97,Re-Entry,Marz,DeeBaby,4,—,1,Dallas,2024-10-24,City Weekly Pulse Songs
697,98,-84,Burn,Vermantics,14,14,2,Dallas,2024-10-24,City Weekly Pulse Songs
698,99,-21,28,Zach Bryan,20,78,16,Dallas,2024-10-24,City Weekly Pulse Songs
699,100,-27,El Plumas,"Neton Vega, Luis R Conriquez",43,73,10,Dallas,2024-10-24,City Weekly Pulse Songs
700,1,–,Gild the Lily,Billy Strings,1,1,4,Denver,2024-10-24,City Weekly Pulse Songs
701,2,New,Love Somebody,Morgan Wallen,2,—,1,Denver,2024-10-24,City Weekly Pulse Songs
702,3,-1,She Wants To Go Dancing,Mt. Joy,2,2,2,Denver,2024-10-24,City Weekly Pulse Songs
703,4,New,PROXIMATE,"Rezz, X1-Y2",4,—,1,Denver,2024-10-24,City Weekly Pulse Songs
704,5,+20,No Brakes,TroyBoi,5,25,3,Denver,2024-10-24,City Weekly Pulse Songs
705,6,New,Bread,Sofi Tukker,6,—,1,Denver,2024-10-24,City Weekly Pulse Songs
706,7,New,Arrow,The Head And The Heart,7,—,1,Denver,2024-10-24,City Weekly Pulse Songs
707,8,New,Welcome To The Plains,Wyatt Flores,8,—,1,Denver,2024-10-24,City Weekly Pulse Songs
708,9,New,Too Hard,"Mersiv, Smoakland",9,—,1,Denver,2024-10-24,City Weekly Pulse Songs
709,10,New,Good Times (Bonus Track),Koe Wetzel,10,—,1,Denver,2024-10-24,City Weekly Pulse Songs
710,11,-7,Ganja Tape,"Ganja White Night, Tape B",2,4,4,Denver,2024-10-24,City Weekly Pulse Songs
711,12,New,Holding On,Bailey Zimmerman,12,—,1,Denver,2024-10-24,City Weekly Pulse Songs
712,13,–,Evergreen (feat. Caamp),"Richy Mitch & The Coal Miners, Caamp",1,13,11,Denver,2024-10-24,City Weekly Pulse Songs
713,14,New,You For A Reason,Warren Zeiders,14,—,1,Denver,2024-10-24,City Weekly Pulse Songs
714,15,+2,Heaven On Earth,Hayden Blount,15,17,4,Denver,2024-10-24,City Weekly Pulse Songs
715,16,+4,weren't for the wind,Ella Langley,16,20,3,Denver,2024-10-24,City Weekly Pulse Songs
716,17,-9,Thought of You,Sam Barber,8,8,2,Denver,2024-10-24,City Weekly Pulse Songs
717,18,-11,Tree Birds,Dylan Gossett,7,7,2,Denver,2024-10-24,City Weekly Pulse Songs
718,19,+15,S P E Y S I D E,Bon Iver,8,34,5,Denver,2024-10-24,City Weekly Pulse Songs
719,20,-8,Happy Face,Treaty Oak Revival,3,12,6,Denver,2024-10-24,City Weekly Pulse Songs
720,21,Re-Entry,Change My Mind,Riley Green,21,—,1,Denver,2024-10-24,City Weekly Pulse Songs
721,22,New,Ends of the Earth,Ty Myers,22,—,1,Denver,2024-10-24,City Weekly Pulse Songs
722,23,Re-Entry,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",8,—,1,Denver,2024-10-24,City Weekly Pulse Songs
723,24,New,Ice Cream Paint Job,"SoDown, Homemade Spaceship, Dorrough Music",24,—,1,Denver,2024-10-24,City Weekly Pulse Songs
724,25,Re-Entry,Change Me,BigXthaPlug,21,—,1,Denver,2024-10-24,City Weekly Pulse Songs
725,26,-17,Winning Streak,Jelly Roll,9,9,2,Denver,2024-10-24,City Weekly Pulse Songs
726,27,-6,Chill,"Levity, ProbCause",17,21,3,Denver,2024-10-24,City Weekly Pulse Songs
727,28,-10,Run Your Mouth,Gavin Adcock,2,18,12,Denver,2024-10-24,City Weekly Pulse Songs
728,29,New,House Again,Hudson Westbrook,29,—,1,Denver,2024-10-24,City Weekly Pulse Songs
729,30,-25,WOOK WHISTLE,"CloZee, LSDREAM",1,5,4,Denver,2024-10-24,City Weekly Pulse Songs
730,31,-3,28,Zach Bryan,3,28,12,Denver,2024-10-24,City Weekly Pulse Songs
731,32,+3,I Never Lie,Zach Top,16,35,4,Denver,2024-10-24,City Weekly Pulse Songs
732,33,-1,Jailbreak,"Waylon Wyatt, Bayker Blankenship",12,32,7,Denver,2024-10-24,City Weekly Pulse Songs
733,34,New,Noid,"Tyler, The Creator",34,—,1,Denver,2024-10-24,City Weekly Pulse Songs
734,35,New,Out Of Bounds,"Koastle, Conrad, DLG.",35,—,1,Denver,2024-10-24,City Weekly Pulse Songs
735,36,–,Wanna Be Loved,The Red Clay Strays,3,36,9,Denver,2024-10-24,City Weekly Pulse Songs
736,37,-22,Levitating,RÜFÜS DU SOL,15,15,2,Denver,2024-10-24,City Weekly Pulse Songs
737,38,-1,Go Back (feat. Julia Church) - YDG Remix,"John Summit, Sub Focus, YDG, Julia Church",37,37,2,Denver,2024-10-24,City Weekly Pulse Songs
738,39,New,Nobody Else,LYNY,39,—,1,Denver,2024-10-24,City Weekly Pulse Songs
739,40,New,Be Here With Me Now,"MC4D, Łaszewo, gavn!",40,—,1,Denver,2024-10-24,City Weekly Pulse Songs
740,41,+16,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",41,57,2,Denver,2024-10-24,City Weekly Pulse Songs
741,42,-20,In The Living Room,Maggie Rogers,19,22,3,Denver,2024-10-24,City Weekly Pulse Songs
742,43,Re-Entry,Snickerz,Daily Bread,1,—,1,Denver,2024-10-24,City Weekly Pulse Songs
743,44,-4,Que Vas a Hacer (Version Norteña),"Los Primos del Este, Nivel",40,40,4,Denver,2024-10-24,City Weekly Pulse Songs
744,45,New,Creamed Cottage Cheese,Thriftworks,45,—,1,Denver,2024-10-24,City Weekly Pulse Songs
745,46,New,First Rodeo,Kelsea Ballerini,46,—,1,Denver,2024-10-24,City Weekly Pulse Songs
746,47,-8,The Thin Grey Line,$uicideboy$,5,39,9,Denver,2024-10-24,City Weekly Pulse Songs
747,48,New,Still the One,Wild Rivers,48,—,1,Denver,2024-10-24,City Weekly Pulse Songs
748,49,-22,Thoughts of You,Ole 60,14,27,5,Denver,2024-10-24,City Weekly Pulse Songs
749,50,+3,WHISKEY WHISKEY (feat. Morgan Wallen),"Moneybagg Yo, Morgan Wallen",9,53,19,Denver,2024-10-24,City Weekly Pulse Songs
750,51,-21,Power (feat. Grabbitz),"Subtronics, LEVEL UP, Grabbitz",5,30,4,Denver,2024-10-24,City Weekly Pulse Songs
751,52,-28,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",24,24,2,Denver,2024-10-24,City Weekly Pulse Songs
752,53,-20,Western Woman,Ian Munsick,7,33,5,Denver,2024-10-24,City Weekly Pulse Songs
753,54,New,I Need Help,"Connor Price, Taylor Hill, Maverick City Music, Nick Day",54,—,1,Denver,2024-10-24,City Weekly Pulse Songs
754,55,-13,I Ain't Sayin',Jordan Davis,29,42,13,Denver,2024-10-24,City Weekly Pulse Songs
755,56,New,HIM ALL ALONG,Gunna,56,—,1,Denver,2024-10-24,City Weekly Pulse Songs
756,57,-10,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,6,47,15,Denver,2024-10-24,City Weekly Pulse Songs
757,58,New,Awaken,Breaking Benjamin,58,—,1,Denver,2024-10-24,City Weekly Pulse Songs
758,59,-56,Doug Fir,Goth Babe,3,3,5,Denver,2024-10-24,City Weekly Pulse Songs
759,60,New,Attaway,Phantogram,60,—,1,Denver,2024-10-24,City Weekly Pulse Songs
760,61,New,Grind,SunSquabi,61,—,1,Denver,2024-10-24,City Weekly Pulse Songs
761,62,-16,A Tear in Space (Airlock),Glass Animals,5,46,2,Denver,2024-10-24,City Weekly Pulse Songs
762,63,+7,PERLA,Los Del North Texas,48,70,3,Denver,2024-10-24,City Weekly Pulse Songs
763,64,+22,Rodeo Clown,flipturn,64,86,4,Denver,2024-10-24,City Weekly Pulse Songs
764,65,New,That’s So True,Gracie Abrams,65,—,1,Denver,2024-10-24,City Weekly Pulse Songs
765,66,-11,STRATOSPHERE,ALLEYCVT,16,55,3,Denver,2024-10-24,City Weekly Pulse Songs
766,67,-15,Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",46,52,3,Denver,2024-10-24,City Weekly Pulse Songs
767,68,-17,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",14,51,4,Denver,2024-10-24,City Weekly Pulse Songs
768,69,-15,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",8,54,13,Denver,2024-10-24,City Weekly Pulse Songs
769,70,-11,Break It Right Back,Megan Moroney,32,59,3,Denver,2024-10-24,City Weekly Pulse Songs
770,71,-9,No Pasa Nada,"Clave Especial, Fuerza Regida",62,62,2,Denver,2024-10-24,City Weekly Pulse Songs
771,72,+20,Down Low - YDG Remix,"it's murph, YDG, Sorana",72,92,3,Denver,2024-10-24,City Weekly Pulse Songs
772,73,-54,Backseat Driver,Kane Brown,19,19,2,Denver,2024-10-24,City Weekly Pulse Songs
773,74,Re-Entry,One Last Time (feat. Sierra Ferrell),"Benjamin Tod, Sierra Ferrell",72,—,1,Denver,2024-10-24,City Weekly Pulse Songs
774,75,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",75,—,1,Denver,2024-10-24,City Weekly Pulse Songs
775,76,-5,Wind Up Missin’ You,Tucker Wetmore,5,71,2,Denver,2024-10-24,City Weekly Pulse Songs
776,77,-10,HEAT STICK,"Shoreline Mafia, OHGEESY, Fenix Flexin",3,67,24,Denver,2024-10-24,City Weekly Pulse Songs
777,78,New,Both Ways,Juice WRLD,78,—,1,Denver,2024-10-24,City Weekly Pulse Songs
778,79,New,Frankenstein,"Qveen Herby, Tech N9ne",79,—,1,Denver,2024-10-24,City Weekly Pulse Songs
779,80,-11,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",16,69,20,Denver,2024-10-24,City Weekly Pulse Songs
780,81,-31,Burning Down,Alex Warren,24,50,5,Denver,2024-10-24,City Weekly Pulse Songs
781,82,-16,Reflejando,Nivel,66,66,2,Denver,2024-10-24,City Weekly Pulse Songs
782,83,New,Is This Love,"LP Giobbi, Danielle Ponder",83,—,1,Denver,2024-10-24,City Weekly Pulse Songs
783,84,New,Red Red Wine,The Polish Ambassador,84,—,1,Denver,2024-10-24,City Weekly Pulse Songs
784,85,-12,Maxed Out,Bayker Blankenship,34,73,23,Denver,2024-10-24,City Weekly Pulse Songs
785,86,New,Long Way Home (feat. Skrizzly Adams),"Chris Webby, Skrizzly Adams",86,—,1,Denver,2024-10-24,City Weekly Pulse Songs
786,87,-24,Quitter,Cameron Whitcomb,63,63,5,Denver,2024-10-24,City Weekly Pulse Songs
787,88,-27,Out of Oklahoma (From Twisters: The Album),Lainey Wilson,16,61,8,Denver,2024-10-24,City Weekly Pulse Songs
788,89,New,Selling Caine,Shordie Shordie,89,—,1,Denver,2024-10-24,City Weekly Pulse Songs
789,90,New,Obokano,Dirtwire,90,—,1,Denver,2024-10-24,City Weekly Pulse Songs
790,91,Re-Entry,PSYCHO,HARDY,23,—,1,Denver,2024-10-24,City Weekly Pulse Songs
791,92,Re-Entry,Is What It Is,Chance Peña,35,—,1,Denver,2024-10-24,City Weekly Pulse Songs
792,93,New,Con Toda La Fe,LOS DOS DE TAMAULIPAS,93,—,1,Denver,2024-10-24,City Weekly Pulse Songs
793,94,New,Poseidon's Revenge,Gramatik,94,—,1,Denver,2024-10-24,City Weekly Pulse Songs
794,95,-47,CAVE (with Tove Lo),"Dom Dolla, Tove Lo",48,48,2,Denver,2024-10-24,City Weekly Pulse Songs
795,96,-70,Three Car Garage,Flatland Cavalry,26,26,2,Denver,2024-10-24,City Weekly Pulse Songs
796,97,New,It's My Ego,Ice Cube,97,—,1,Denver,2024-10-24,City Weekly Pulse Songs
797,98,New,One Take Freestyle,1900Rugrat,98,—,1,Denver,2024-10-24,City Weekly Pulse Songs
798,99,-10,Boogieman,EBK Jaaybo,4,89,26,Denver,2024-10-24,City Weekly Pulse Songs
799,100,New,ROCKMAN,Mk.gee,100,—,1,Denver,2024-10-24,City Weekly Pulse Songs
800,1,–,Down the Road,Bruce Dylan,1,1,3,Detroit,2024-10-24,City Weekly Pulse Songs
801,2,New,The Outside,Elder Millennial,2,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
802,3,-1,Feelings Gone,Grey Iron,2,2,2,Detroit,2024-10-24,City Weekly Pulse Songs
803,4,–,Trade Your Life,"Bio Gottem, Jake Buzzard",3,4,3,Detroit,2024-10-24,City Weekly Pulse Songs
804,5,+1,Virus,"BC Killa, Jake Buzzard",5,6,2,Detroit,2024-10-24,City Weekly Pulse Songs
805,6,-3,Iris,"Michigan Hard Hitters, Jake Buzzard",2,3,3,Detroit,2024-10-24,City Weekly Pulse Songs
806,7,Re-Entry,Sometimes It Rains,All-In Watts,5,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
807,8,-1,PTP,Babyfxce E,1,7,15,Detroit,2024-10-24,City Weekly Pulse Songs
808,9,Re-Entry,Waiting For A Hero,Daryl and The Darkness,9,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
809,10,-5,Don't Call,"Ben Killingmen, Jake Buzzard",5,5,3,Detroit,2024-10-24,City Weekly Pulse Songs
810,11,Re-Entry,No Heroes No More,Jake Buzzard,1,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
811,12,Re-Entry,So Cold,"Da Paper Chasers, Amvis",10,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
812,13,Re-Entry,The Big Reveal,Earworm,1,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
813,14,Re-Entry,We All Know Why,Charlie Mellow,9,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
814,15,Re-Entry,Holy Redemer,Eleven 28,12,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
815,16,New,STFU,FMB DZ,16,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
816,17,-7,Boss Affirmations,Payroll Giovanni,8,10,3,Detroit,2024-10-24,City Weekly Pulse Songs
817,18,New,Possum,"Icewear Vezzo, BabyTron",18,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
818,19,Re-Entry,Manifest,Local Crime Beats,14,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
819,20,-11,Demure,"YN Jay, Babyfxce E",4,9,9,Detroit,2024-10-24,City Weekly Pulse Songs
820,21,-10,Really Jimmy?,BabyTron,11,11,2,Detroit,2024-10-24,City Weekly Pulse Songs
821,22,-9,Detroit (feat. 42 Dugg),"Tee Grizzley, 42 Dugg",7,13,9,Detroit,2024-10-24,City Weekly Pulse Songs
822,23,New,Mud Dawgs,"TrapHouse Koda, Sada Baby",23,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
823,24,-12,Same Type,"Peezy, Payroll Giovanni",3,12,5,Detroit,2024-10-24,City Weekly Pulse Songs
824,25,-9,HOLLON,GloRilla,12,16,5,Detroit,2024-10-24,City Weekly Pulse Songs
825,26,New,Love Somebody,Morgan Wallen,26,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
826,27,-12,Striker Musik,"Six Ward Von, Babyfxce E",4,15,15,Detroit,2024-10-24,City Weekly Pulse Songs
827,28,-14,Ladies Leave Your Man At Home,"DeJ Loaf, Kash Doll",14,14,2,Detroit,2024-10-24,City Weekly Pulse Songs
828,29,Re-Entry,Chances Make Champions,Baby Money,2,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
829,30,New,Federal Nightmares,Rod Wave,30,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
830,31,Re-Entry,Wavy Navy University,"Babyface Ray, Veeze",8,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
831,32,-13,The Viper,BabyChiefDoit,13,19,4,Detroit,2024-10-24,City Weekly Pulse Songs
832,33,Re-Entry,Kentucky Love,"Bfb Da Packman, Babyfxce E, KrispyLife Kidd",1,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
833,34,-11,Winning Streak,Jelly Roll,23,23,2,Detroit,2024-10-24,City Weekly Pulse Songs
834,35,New,Holding On,Bailey Zimmerman,35,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
835,36,-11,Leave Me Alone,BigXthaPlug,25,25,2,Detroit,2024-10-24,City Weekly Pulse Songs
836,37,-16,OH BOY,"Kash Doll, Baby Money, Skilla Baby, Cash Kidd, RiskTaker D-Boy, DJBJ 3525",1,21,84,Detroit,2024-10-24,City Weekly Pulse Songs
837,38,-21,People's Favorite (feat. 42 Dugg) - Remix,"Chicken P, 42 Dugg",14,17,3,Detroit,2024-10-24,City Weekly Pulse Songs
838,39,-8,WHISKEY WHISKEY (feat. Morgan Wallen),"Moneybagg Yo, Morgan Wallen",3,31,19,Detroit,2024-10-24,City Weekly Pulse Songs
839,40,-14,Sorry Not Sorry,"Lil Yachty, Veeze",14,26,10,Detroit,2024-10-24,City Weekly Pulse Songs
840,41,New,You For A Reason,Warren Zeiders,41,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
841,42,-18,Just Talking,"KrispyLife Kidd, Rmc Mike, Icewear Vezzo, Babyfxce E, Ysr Gramz",8,24,7,Detroit,2024-10-24,City Weekly Pulse Songs
842,43,-15,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",14,28,13,Detroit,2024-10-24,City Weekly Pulse Songs
843,44,-15,DD4,"Rio Da Yung Og, Rmc Mike",2,29,26,Detroit,2024-10-24,City Weekly Pulse Songs
844,45,New,SNOTBALL,"DaeMoney, BabyTron",45,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
845,46,Re-Entry,Lions Won Again,Gmac Cash,8,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
846,47,-20,Move,Mello Buckzz,6,27,16,Detroit,2024-10-24,City Weekly Pulse Songs
847,48,-18,Booby Trap On The River (feat. BossMan Dlow),"Skilla Baby, BossMan Dlow",6,30,13,Detroit,2024-10-24,City Weekly Pulse Songs
848,49,+8,Change My Mind,Riley Green,48,57,3,Detroit,2024-10-24,City Weekly Pulse Songs
849,50,-17,Run Your Mouth,Gavin Adcock,25,33,13,Detroit,2024-10-24,City Weekly Pulse Songs
850,51,-19,Brokey,Latto,30,32,10,Detroit,2024-10-24,City Weekly Pulse Songs
851,52,-15,Cavalier,Juice WRLD,37,37,2,Detroit,2024-10-24,City Weekly Pulse Songs
852,53,-15,End Up Gone,ian,38,38,3,Detroit,2024-10-24,City Weekly Pulse Songs
853,54,New,Noid,"Tyler, The Creator",54,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
854,55,-15,F*cked A Fan,"Veeze, Rylo Rodriguez",25,40,15,Detroit,2024-10-24,City Weekly Pulse Songs
855,56,New,HIM ALL ALONG,Gunna,56,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
856,57,New,Help Me 2,Real Boston Richey,57,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
857,58,New,Ends of the Earth,Ty Myers,58,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
858,59,-17,Happy Face,Treaty Oak Revival,27,42,6,Detroit,2024-10-24,City Weekly Pulse Songs
859,60,+16,Awaken,Breaking Benjamin,60,76,2,Detroit,2024-10-24,City Weekly Pulse Songs
860,61,New,Good Times (Bonus Track),Koe Wetzel,61,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
861,62,-23,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",23,39,4,Detroit,2024-10-24,City Weekly Pulse Songs
862,63,-17,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",15,46,13,Detroit,2024-10-24,City Weekly Pulse Songs
863,64,-30,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",34,34,2,Detroit,2024-10-24,City Weekly Pulse Songs
864,65,-16,Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",22,49,10,Detroit,2024-10-24,City Weekly Pulse Songs
865,66,-13,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,14,53,18,Detroit,2024-10-24,City Weekly Pulse Songs
866,67,New,Rogue,Upchurch,67,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
867,68,-14,28,Zach Bryan,17,54,15,Detroit,2024-10-24,City Weekly Pulse Songs
868,69,-22,LIL DEMON,Future,40,47,3,Detroit,2024-10-24,City Weekly Pulse Songs
869,70,-8,One Take Freestyle,1900Rugrat,62,62,3,Detroit,2024-10-24,City Weekly Pulse Songs
870,71,-27,Or What,"NLE Choppa, 41, Kyle Richh",44,44,5,Detroit,2024-10-24,City Weekly Pulse Songs
871,72,-27,Blood In Blood Out,Lil Scoom89,5,45,13,Detroit,2024-10-24,City Weekly Pulse Songs
872,73,-5,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",22,68,21,Detroit,2024-10-24,City Weekly Pulse Songs
873,74,-1,weren't for the wind,Ella Langley,73,73,3,Detroit,2024-10-24,City Weekly Pulse Songs
874,75,-15,U Kno What To Do (UKWTD),Sexyy Red,31,60,7,Detroit,2024-10-24,City Weekly Pulse Songs
875,76,-11,PSYCHO,HARDY,9,65,3,Detroit,2024-10-24,City Weekly Pulse Songs
876,77,-13,Wind Up Missin’ You,Tucker Wetmore,14,64,2,Detroit,2024-10-24,City Weekly Pulse Songs
877,78,New,Drive Da Boat (feat. BabyChiefDoit),"BAK Jay, BabyChiefDoit",78,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
878,79,-20,Break It Right Back,Megan Moroney,38,59,3,Detroit,2024-10-24,City Weekly Pulse Songs
879,80,-19,Lonely Dirt Road,Dax,61,61,2,Detroit,2024-10-24,City Weekly Pulse Songs
